,msu7Name,raprepName,contig,fmin,fmax
OsNippo01g010050,{'LOC_Os01g01010'},{'Os01g0100100'},chr01,2982,10815
OsNippo01g010100,set(),{'Os01g0100300'},chr01,11371,12284
OsNippo01g010150,{'LOC_Os01g01019'},{'Os01g0100200'},chr01,11217,12435
OsNippo01g010200,{'LOC_Os01g01030'},{'Os01g0100400'},chr01,12720,15685
OsNippo01g010250,set(),{'Os01g0100466'},chr01,12807,13978
OsNippo01g010300,{'LOC_Os01g01040'},{'Os01g0100500'},chr01,16398,20144
OsNippo01g010350,{'LOC_Os01g01050'},{'Os01g0100600'},chr01,22840,26892
OsNippo01g010400,set(),{'Os01g0100650'},chr01,25860,26424
OsNippo01g010450,{'LOC_Os01g01060'},{'Os01g0100700'},chr01,27142,28644
OsNippo01g010500,{'LOC_Os01g01070'},{'Os01g0100800'},chr01,29817,34453
